ncores,nlines,speed_rdd,speed_df,speed_sql,tips_rdd,tips_df,tips_sql,trajs_df
1,10000,0.2644782066345215,1.3854942321777344,1.1089311838150024,0.15955495834350586,1.2481908798217773,1.26227867603302,1.6683353185653687
1,100000,0.9538946151733398,1.169529676437378,1.3021937608718872,0.3746429681777954,1.1638412475585938,1.146206259727478,2.2104811668395996
1,971011,8.37259829044342,3.925236225128174,5.311228156089783,2.9854371547698975,2.9051618576049805,2.152615189552307,5.880886435508728
2,10000,0.22380292415618896,0.9141159057617188,0.7352398633956909,0.17159724235534668,0.8070995807647705,0.6712895631790161,1.0418901443481445
2,100000,0.9643940925598145,0.8022301197052002,0.7970293760299683,0.47868621349334717,0.7417705059051514,0.651303768157959,1.3640965223312378
2,971011,5.7035404443740845,2.7092877626419067,3.2085601091384888,1.9902888536453247,1.7744983434677124,1.2462430000305176,3.4926705360412598
3,10000,0.22610580921173096,0.7857171297073364,0.6271240711212158,0.1556910276412964,0.679261326789856,0.5955311059951782,0.9125850200653076
3,100000,0.8001624345779419,0.6523394584655762,0.6111708879470825,0.45748281478881836,0.6363548040390015,0.5465402603149414,1.131545901298523
3,971011,4.199677348136902,2.0385091304779053,2.4330883026123047,1.7050772905349731,1.4137341976165771,1.0058999061584473,2.748282551765442
4,10000,0.23555898666381836,0.7011222839355469,0.5282104015350342,0.14999854564666748,0.558761715888977,0.4927104711532593,0.8930288553237915
4,100000,0.8454347848892212,0.5897676944732666,0.6072112321853638,0.43202900886535645,0.5814162492752075,0.4714064598083496,1.065252661705017
4,971011,3.6187307834625244,1.7464669942855835,2.1226558685302734,1.4475888013839722,1.2071996927261353,0.8576259613037109,2.3577170372009277
5,10000,0.25289618968963623,0.6623897552490234,0.454677939414978,0.17731547355651855,0.5958602428436279,0.4784501791000366,0.854556679725647
5,100000,0.7999662160873413,0.5996122360229492,0.6108864545822144,0.4468114376068115,0.525162935256958,0.4148409366607666,0.9538179636001587
5,971011,3.369899272918701,1.6079113483428955,1.9145225286483765,1.389400839805603,1.0427457094192505,0.7430659532546997,2.0412408113479614
6,10000,0.2311105728149414,0.6417539119720459,0.4190812110900879,0.16135525703430176,0.5764654874801636,0.4337341785430908,0.7567598819732666
6,100000,0.8669990301132202,0.5636464357376099,0.5873062610626221,0.4886176586151123,0.5156416893005371,0.38507354259490967,0.91921067237854
6,971011,3.1630802154541016,1.4982891082763672,1.749183177947998,1.3835346698760986,1.0036348104476929,0.6496075391769409,1.8965355157852173
7,10000,0.23701250553131104,0.6115012168884277,0.40264081954956055,0.15802299976348877,0.5559297800064087,0.4511975049972534,0.8033002614974976
7,100000,0.8046853542327881,0.5409380197525024,0.5486675500869751,0.4702216386795044,0.47902774810791016,0.35629987716674805,0.8398009538650513
7,971011,3.154022216796875,1.3945271968841553,1.676203966140747,1.312493085861206,0.8760992288589478,0.5875567197799683,1.7770307064056396
8,10000,0.2095729112625122,0.5938059091567993,0.41136646270751953,0.15461993217468262,0.4920154809951782,0.4067498445510864,0.6829410791397095
8,100000,0.8601752519607544,0.5307909250259399,0.5855075120925903,0.5579514503479004,0.5131193399429321,0.36630988121032715,0.834183931350708
8,971011,3.073297381401062,1.3992846012115479,1.6667886972427368,1.3446340560913086,0.885901927947998,0.5790845155715942,1.7408499717712402
9,10000,0.25468266010284424,0.5884493589401245,0.4066838026046753,0.15869379043579102,0.4870579242706299,0.4149399995803833,0.6823551654815674
9,100000,0.8932535648345947,0.5668374300003052,0.5631059408187866,0.4599858522415161,0.5173835754394531,0.37178969383239746,0.878779411315918
9,971011,3.0455864667892456,1.336068034172058,1.6107970476150513,1.3493304252624512,0.7874438762664795,0.5726369619369507,1.7406316995620728
10,10000,0.23281323909759521,0.6137104034423828,0.4220331907272339,0.15967929363250732,0.4879218339920044,0.41587817668914795,0.6968663930892944
10,100000,0.8567167520523071,0.549548864364624,0.5594991445541382,0.47919762134552,0.5039758682250977,0.3573191165924072,0.8388776779174805
10,971011,3.0400772094726562,1.3256455659866333,1.5993447303771973,1.3373478651046753,0.8510838747024536,0.5626602172851562,1.7251636981964111
11,10000,0.27640092372894287,0.6193393468856812,0.41438496112823486,0.17931926250457764,0.5115514993667603,0.40789055824279785,0.684909462928772
11,100000,0.837419867515564,0.5680975914001465,0.546607255935669,0.48411500453948975,0.5211266279220581,0.35565054416656494,0.8973983526229858
11,971011,3.117765426635742,1.348567008972168,1.5717641115188599,1.311883807182312,0.8543136119842529,0.5423948764801025,1.667623519897461
12,10000,0.21496367454528809,0.6063885688781738,0.40742528438568115,0.16151535511016846,0.4729728698730469,0.4021642208099365,0.6660205125808716
12,100000,0.8594452142715454,0.5494763851165771,0.5456341505050659,0.4398338794708252,0.5663580894470215,0.3714641332626343,0.9500876665115356
12,971011,3.1496673822402954,1.3620493412017822,1.618243932723999,1.2969683408737183,0.8169378042221069,0.5258721113204956,1.8117663860321045
